_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ mapa_random_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
iteração 495 mapa_random| tempo exec  13.694989442825317
iteração 496 mapa_random| tempo exec  13.447043418884277
iteração 497 mapa_random| tempo exec  14.615316390991211
iteração 498 mapa_random| tempo exec  13.121392965316772
iteração 499 mapa_random| tempo exec  13.579582929611206

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

          - - - -mapa_random stats- - - -
-> MIN: 6887 | MAX: 12933 || AVG:  11047.876
-> All scores sorted:
